,27
Name,Aspen / Snowmass
Region,Colorado
state,Colorado
summit_elev,12510
vertical_drop,4406
base_elev,8104
trams,3
fastEight,0.0
fastSixes,1
fastQuads,15
quad,4
triple,3
double,5
surface,9
total_chairs,40
Runs,336.0
TerrainParks,10.0
LongestRun_mi,5.3
SkiableTerrain_ac,5517.0
Snow Making_ac,658.0
daysOpenLastYear,138.0
yearsOpen,72.0
averageSnowfall,300.0
AdultWeekday,179.0
AdultWeekend,179.0
projectedDaysOpen,138.0
NightSkiing_ac,
